slug,category,title,description,priority,haloscan_volume,haloscan_kd,haloscan_cpc
poubelle-cuisine,type-usage,Poubelle cuisine,,high,30,NA,NA
corbeille-cuisine,type-usage,Corbeille cuisine,,medium,,,
poubelle-salle-de-bain,type-usage,Poubelle salle de bain,,high,NA,NA,NA
corbeille-salle-de-bain,type-usage,Corbeille salle de bain,,medium,,,
poubelle-bureau,type-usage,Poubelle bureau,,high,1000,14700,0.51
corbeille-bureau,type-usage,Corbeille bureau,,medium,,,
poubelle-salon,type-usage,Poubelle salon,,high,40,NA,0.3679
corbeille-salon,type-usage,Corbeille salon,,medium,,,
poubelle-chambre,type-usage,Poubelle chambre,,high,1000,6450,0.34
corbeille-chambre,type-usage,Corbeille chambre,,medium,,,
poubelle-garage,type-usage,Poubelle garage,,high,110,NA,NA
corbeille-garage,type-usage,Corbeille garage,,medium,,,
poubelle-jardin,type-usage,Poubelle jardin,,high,100,1050,0.18
corbeille-jardin,type-usage,Corbeille jardin,,medium,,,
poubelle-exterieur,type-usage,Poubelle extérieur,,high,600,4810,0.65
corbeille-exterieur,type-usage,Corbeille extérieur,,medium,,,
poubelle-terrasse,type-usage,Poubelle terrasse,,high,40,NA,0.54
corbeille-terrasse,type-usage,Corbeille terrasse,,medium,,,
poubelle-cave,type-usage,Poubelle cave,,high,,,
corbeille-cave,type-usage,Corbeille cave,,medium,,,
poubelle-van,type-usage,Poubelle van,,high,20,NA,0.2048
corbeille-van,type-usage,Corbeille van,,medium,,,
poubelle-camping-car,type-usage,Poubelle camping-car,,high,500,590,0.19
corbeille-camping-car,type-usage,Corbeille camping-car,,medium,,,
poubelle-camping,type-usage,Poubelle camping,,high,10,NA,0.21
corbeille-camping,type-usage,Corbeille camping,,medium,,,
poubelle-bateaux,type-usage,Poubelle bateau,,high,,,
corbeille-bateaux,type-usage,Corbeille bateau,,medium,,,
poubelle-restaurant,type-usage,Poubelle restaurant,,high,10,NA,2.21
corbeille-restaurant,type-usage,Corbeille restaurant,,medium,,,
poubelle-hotel,type-usage,Poubelle hôtel,,high,NA,NA,NA
corbeille-hotel,type-usage,Corbeille hôtel,,medium,,,
poubelle-bureau-open-space,type-usage,Poubelle open space,,high,,,
corbeille-bureau-open-space,type-usage,Corbeille open space,,medium,,,
poubelle-ecole,type-usage,Poubelle école,,high,NA,NA,NA
corbeille-ecole,type-usage,Corbeille école,,medium,,,
poubelle-hopital,type-usage,Poubelle hôpital,,high,40,NA,1.5749
corbeille-hopital,type-usage,Corbeille hôpital,,medium,,,
poubelle-collectivites,type-usage,Poubelle collectivités,,high,,,
corbeille-collectivites,type-usage,Corbeille collectivités,,medium,,,
poubelle-industrie,type-usage,Poubelle industrie,,high,NA,NA,NA
corbeille-industrie,type-usage,Corbeille industrie,,medium,,,
poubelle-1l,volume,Poubelle 1L,,high,70,NA,0.14
bac-1l,volume,Bac 1L,,low,,,
poubelle-2l,volume,Poubelle 2L,,high,30,NA,0.2859
bac-2l,volume,Bac 2L,,low,,,
poubelle-3l,volume,Poubelle 3L,,high,110,NA,0.29
bac-3l,volume,Bac 3L,,low,,,
poubelle-5l,volume,Poubelle 5L,,high,210,NA,0.31
bac-5l,volume,Bac 5L,,low,,,
poubelle-7l,volume,Poubelle 7L,,high,,,
bac-7l,volume,Bac 7L,,low,,,
poubelle-8l,volume,Poubelle 8L,,high,20,NA,0.3176
bac-8l,volume,Bac 8L,,low,,,
poubelle-10l,volume,Poubelle 10L,,high,40,NA,0.31
bac-10l,volume,Bac 10L,,low,,,
poubelle-12l,volume,Poubelle 12L,,high,90,NA,1.5
bac-12l,volume,Bac 12L,,low,,,
poubelle-15l,volume,Poubelle 15L,,high,170,NA,0.47
bac-15l,volume,Bac 15L,,low,,,
poubelle-16l,volume,Poubelle 16L,,high,30,NA,0.37
bac-16l,volume,Bac 16L,,low,,,
poubelle-20l,volume,Poubelle 20L,,high,1000,4420,0.33
bac-20l,volume,Bac 20L,,low,,,
poubelle-25l,volume,Poubelle 25L,,high,30,NA,0.4433
bac-25l,volume,Bac 25L,,low,,,
poubelle-30l,volume,Poubelle 30L,,high,5,752,0.34
bac-30l,volume,Bac 30L,,low,,,
poubelle-40l,volume,Poubelle 40L,,high,40,NA,0.4632
bac-40l,volume,Bac 40L,,low,,,
poubelle-50l,volume,Poubelle 50L,,high,300,46,0.34
bac-50l,volume,Bac 50L,,low,,,
poubelle-60l,volume,Poubelle 60L,,high,40,NA,0.4012
bac-60l,volume,Bac 60L,,low,,,
poubelle-70l,volume,Poubelle 70L,,high,90,NA,1.14
bac-70l,volume,Bac 70L,,low,,,
poubelle-80l,volume,Poubelle 80L,,high,20,3,0.03
bac-80l,volume,Bac 80L,,low,,,
poubelle-90l,volume,Poubelle 90L,,high,70,NA,1.86
bac-90l,volume,Bac 90L,,low,,,
poubelle-100l,volume,Poubelle 100L,,high,90,NA,0.55
bac-100l,volume,Bac 100L,,low,,,
poubelle-120l,volume,Poubelle 120L,,high,30,NA,0.0593
bac-120l,volume,Bac 120L,,low,,,
poubelle-140l,volume,Poubelle 140L,,high,70,NA,1.26
bac-140l,volume,Bac 140L,,low,,,
poubelle-180l,volume,Poubelle 180L,,high,50,NA,1.39
bac-180l,volume,Bac 180L,,low,,,
poubelle-240l,volume,Poubelle 240L,,high,50,NA,1.68
bac-240l,volume,Bac 240L,,low,,,
poubelle-360l,volume,Poubelle 360L,,high,70,NA,1.22
bac-360l,volume,Bac 360L,,low,,,
poubelle-600l,volume,Poubelle 600L,,high,NA,NA,NA
bac-600l,volume,Bac 600L,,low,,,
poubelle-1100l,volume,Poubelle 1100L,,high,,,
bac-1100l,volume,Bac 1100L,,low,,,
poubelle-1l-cuisine,volume-usage,Poubelle 1L cuisine,,high,,,
poubelle-1l-salle-de-bain,volume-usage,Poubelle 1L salle de bain,,high,,,
poubelle-1l-bureau,volume-usage,Poubelle 1L bureau,,high,,,
poubelle-1l-salon,volume-usage,Poubelle 1L salon,,high,,,
poubelle-1l-chambre,volume-usage,Poubelle 1L chambre,,high,,,
poubelle-1l-garage,volume-usage,Poubelle 1L garage,,high,,,
poubelle-1l-jardin,volume-usage,Poubelle 1L jardin,,high,,,
poubelle-1l-exterieur,volume-usage,Poubelle 1L extérieur,,high,,,
poubelle-1l-terrasse,volume-usage,Poubelle 1L terrasse,,high,,,
poubelle-1l-cave,volume-usage,Poubelle 1L cave,,high,,,
poubelle-1l-van,volume-usage,Poubelle 1L van,,high,,,
poubelle-1l-camping-car,volume-usage,Poubelle 1L camping-car,,high,,,
poubelle-1l-camping,volume-usage,Poubelle 1L camping,,high,,,
poubelle-1l-bateaux,volume-usage,Poubelle 1L bateau,,high,,,
poubelle-1l-restaurant,volume-usage,Poubelle 1L restaurant,,high,,,
poubelle-1l-hotel,volume-usage,Poubelle 1L hôtel,,high,,,
poubelle-1l-bureau-open-space,volume-usage,Poubelle 1L open space,,high,,,
poubelle-1l-ecole,volume-usage,Poubelle 1L école,,high,,,
poubelle-1l-hopital,volume-usage,Poubelle 1L hôpital,,high,,,
poubelle-1l-collectivites,volume-usage,Poubelle 1L collectivités,,high,,,
poubelle-1l-industrie,volume-usage,Poubelle 1L industrie,,high,,,
poubelle-2l-cuisine,volume-usage,Poubelle 2L cuisine,,high,,,
poubelle-2l-salle-de-bain,volume-usage,Poubelle 2L salle de bain,,high,,,
poubelle-2l-bureau,volume-usage,Poubelle 2L bureau,,high,,,
poubelle-2l-salon,volume-usage,Poubelle 2L salon,,high,,,
poubelle-2l-chambre,volume-usage,Poubelle 2L chambre,,high,,,
poubelle-2l-garage,volume-usage,Poubelle 2L garage,,high,,,
poubelle-2l-jardin,volume-usage,Poubelle 2L jardin,,high,,,
poubelle-2l-exterieur,volume-usage,Poubelle 2L extérieur,,high,,,
poubelle-2l-terrasse,volume-usage,Poubelle 2L terrasse,,high,,,
